 Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Latitude, Longitude
3461,Mountain Mikes (Roseville/Foothills),3989 Foothills Blvd,Roseville,95747,CA,38.75093,-121.30793
2502,Elks Lodge (Roseville/Brady),3000 Brady Ln,Roseville,95747,CA,38.75028,-121.31324
1711,Back Forty Texas BBQ (Roseville/Orlando),1201 Orlando Ave,Roseville,95661,CA,38.72294,-121.28886
4730,Trocadero Club (Roseville/Church),119 Church St,Roseville,95678,CA,38.75146,-121.28566
3355,Mikunis (Roseville/Eureka),1565 Eureka Rd,Roseville,95661,CA,38.74943,-121.24695
1905,Boxing Donkey (Roseville/Lincoln),300 Lincoln St,Roseville,95678,CA,38.75132,-121.28419
2955,Just Kickin It Sports Bar & Grill (Roseville/Riverside),313 Riverside Ave,Roseville,95678,CA,38.74098,-121.29047
4013,Riverside Pizza (Roseville/Riverside Ave),609 Riverside Ave,Roseville,95678,CA,38.73596,-121.2902
4307,Skate Town Ice (Roseville/Orlando),1009 Orlando Ave,Roseville,95661,CA,38.72785,-121.28558
1793,Best Western Plus Orchid Hotel and Suites (Roseville/N Sunrise),130 N Sunrise Ave,Roseville,95661,CA,38.74664,-121.26656
3258,Mandangos (Roseville/N Sunrise),106 N Sunrise Ave,Roseville,95661,CA,38.7446,-121.2671
1041728,Squeeze Inn (Roseville/N Sunrise),106 N Sunrise Ave C1,Roseville,95661,CA,38.7446,-121.2671
3191,Lorenzos (Roseville/Sunrise),135 Sunrise Ave,Roseville,95661,CA,38.74329,-121.26837
3662,Outback Steakhouse (Roseville/N Sunrise),181 N Sunrise Ave,Roseville,95661,CA,38.74801,-121.26455
4496,Soho Sushi (Roseville/Douglas),1811 Douglas Blvd,Roseville,95661,CA,38.74662,-121.26067
2045,California Roll & Grill (Roseville/Santa Clara),1725 Santa Clara Dr,Roseville,95661,CA,38.74567,-121.26276
2237,Claim Jumper (Roseville/Harding),250 Harding Blvd,Roseville,95678,CA,38.75079,-121.26747
1601,Almond Tree Grill & Lounge (Roseville/Harding),214 Harding Blvd,Roseville,95678,CA,38.74857,-121.26958
2011,Cafe Delicias #2 (Roseville/Harding),211 Harding Blvd,Roseville,95678,CA,38.74877,-121.27055
3545,Ninja Sushi (Roseville/Vernon),238 Vernon St,Roseville,95678,CA,38.749622,-121.28331
13796,West House Hotel (Roseville/Atlantic),347 Atlantic St,Roseville,95678,CA,38.74939,-121.28435
1071585,Vernon Street Grill (Roseville/Vernon),211 Vernon St,Roseville,95678,CA,38.749781,-121.282915
2426,Eagles (Roseville/Vernon),124 Vernon St,Roseville,95678,CA,38.750501,-121.282148
1024737,Taqueria Tapatio (Roseville/Douglas Blvd),1025 Douglas Blvd,Roseville,95678,CA,38.74419,-121.27718
4840,Whole Foods (Roseville/Galleria),1001 Galleria Blvd,Roseville,95678,CA,38.76717,-121.26781
2352,Dave & Busters (Roseville/Roseville),1174 Roseville Pky,Roseville,95678,CA,38.7684,-121.27024
4920,Zocalo (Roseville/Roseville),1182 Roseville Pkwy,Roseville,95678,CA,38.76838,-121.26861
3352,Mikuni Kaizen (Roseville/Galleria Blvd),1017 Galleria Blvd,Roseville,95678,CA,38.76739,-121.27004
2039,California Pizza Kitchen (Roseville/Roseville),1190 Roseville Pky,Roseville,95678,CA,38.76919,-121.2687
